name,path,sourceUrl,imageUrl,provider
陆定昊,assets/people/陆定昊.jpg,https://zh.wikipedia.org/wiki/%E9%99%B8%E5%AE%9A%E6%98%8A,https://upload.wikimedia.org/wikipedia/commons/d/db/20180321_PEK-SHA%E8%A1%A5%E5%8F%91%E4%B8%80%E4%B8%8B%E6%AC%A2%E8%BF%8E%E5%9B%9E%E5%AE%B6%E5%B0%8F%E8%8A%99_%E9%99%86%E5%AE%9A%E6%98%8A_%2812%29.jpg,ZH Wikipedia
鹿晗,assets/people/鹿晗.jpg,https://zh.wikipedia.org/wiki/%E9%B9%BF%E6%99%97,https://upload.wikimedia.org/wikipedia/commons/a/a8/%E9%B9%BF%E6%99%97%E5%90%88%E8%82%A5%E8%B7%AF%E6%BC%94_%281%29.jpg,ZH Wikipedia
罗一舟,assets/people/罗一舟.jpg,https://baike.baidu.com/item/%E7%BD%97%E4%B8%80%E8%88%9F,"https://bkimg.cdn.bcebos.com/pic/d6ca7bcb0a46f21fbe09491cff7c7c600c338744007e?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
罗云熙,assets/people/罗云熙.jpg,https://zh.wikipedia.org/wiki/%E7%BD%97%E4%BA%91%E7%86%99,https://upload.wikimedia.org/wikipedia/commons/b/bd/Luo_Yunxi_in_2023_%28cropped%29.jpg,ZH Wikipedia
罗正,assets/people/罗正.jpg,https://baike.baidu.com/subview/1000225/21470816.htm,"https://bkimg.cdn.bcebos.com/pic/6f061d950a7b02087bf4a6843f81e5d3572c11df6207?x-bce-process=image/format,f_auto",KCrush
马嘉祺,assets/people/马嘉祺.jpg,https://baike.baidu.com/item/%E9%A9%AC%E5%98%89%E7%A5%BA,"https://bkimg.cdn.bcebos.com/pic/8ad4b31c8701a18b87d68e4acc77100828381f305027?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
马思超,assets/people/马思超.jpg,https://baike.baidu.com/item/%E9%A9%AC%E6%80%9D%E8%B6%85,"https://bkimg.cdn.bcebos.com/pic/279759ee3d6d55fbb2fbb30d4174584a20a4462377db?x-bce-process=image/format,f_auto",KCrush
蒙恩,assets/people/蒙恩.jpg,https://baike.baidu.com/item/%E8%92%99%E6%81%A9/19436972,"https://bkimg.cdn.bcebos.com/pic/0df3d7ca7bcb0a46f21f2cd6f337e1246b600d33019d?x-bce-process=image/resize,m_lfit,w_536,limit_1/quality,Q_70",KCrush
孟子坤,assets/people/孟子坤.jpg,https://baike.baidu.com/item/%E5%AD%9F%E5%AD%90%E5%9D%A4,"https://bkimg.cdn.bcebos.com/pic/fcfaaf51f3deb48f8c540b012a452d292df5e1fed2e3?x-bce-process=image/format,f_auto",KCrush
闵玧其,assets/people/闵玧其.png,https://zh.wikipedia.org/wiki/SUGA,https://upload.wikimedia.org/wikipedia/commons/d/d6/Suga_for_Marie_Claire_Korea%2C_May_2023_issue_07.png,ZH Wikipedia
牛东文,assets/people/牛东文.jpg,https://baike.baidu.com/view/186095.htm,"https://bkimg.cdn.bcebos.com/pic/5ab5c9ea15ce36d3d5393bf989a42d87e950342a1bf8?x-bce-process=image/format,f_auto",KCrush
彭昱畅,assets/people/彭昱畅.jpg,https://zh.wikipedia.org/wiki/%E5%BD%AD%E6%98%B1%E6%9A%A2,https://upload.wikimedia.org/wikipedia/commons/f/ff/%E5%BD%AD%E6%98%B1%E6%9A%A2%E5%8F%AF%E6%84%9B%E4%BA%AE%E7%9B%B8%E7%AC%AC55%E5%B1%86%E9%87%91%E9%A6%AC%E7%8D%8E%E6%98%9F%E5%85%89%E5%A4%A7%E9%81%93.jpg,ZH Wikipedia
